Group E,Spain,MF,Carlos Soler,Paris Saint-Germain,France,15,4,2,625,0,0.864,0
Group E,Japan,MF,Daichi Kamada,Eintracht Frankfurt,Germany,22,12,4,1675,0,0.86,0
Group B,United States,FW,Haji Wright,Antalyaspor,Turkey,12,9,1,1050,0,0.857,0
Group G,Switzerland,FW,Noah Okafor,Red Bull Salzburg,Austria,22,10,2,1260,0,0.857,0
Group A,Netherlands,FW,Vincent Janssen,Antwerp,Belgium,23,9,5,1475,0,0.854,0
Group E,Germany,MF,Leon Goretzka,Bayern Munich,Germany,18,6,4,1064,0,0.846,0
Group D,France,FW,Ousmane Dembélé,Barcelona,Spain,20,5,7,1289,0,0.838,0
Group E,Germany,MF,Thomas Müller,Bayern Munich,Germany,15,3,6,969,0,0.836,0
Group F,Morocco,MF,Anass Zaroury,Burnley,England,19,8,2,1091,0,0.825,0
Group E,Germany,FW,Niclas Füllkrug,Werder Bremen,Germany,16,10,3,1429,0,0.819,0
Group H,Portugal,MF,João Mário,Benfica,Portugal,24,10,8,1995,0,0.812,0
Group H,South Korea,FW,Cho Gue-sung,Jeonbuk Hyundai Motors,South Korea,35,21,5,2881,0,0.812,0
Group F,Canada,FW,Jonathan David,Lille,France,15,9,3,1331,0,0.811,0
Group B,England,MF,Phil Foden,Manchester City,England,20,8,3,1227,0,0.807,0
Group A,Netherlands,MF,Xavi Simons,PSV Eindhoven,Netherlands,22,10,4,1567,0,0.804,0
Group A,Senegal,FW,Famara Diédhiou,Alanyaspor,Turkey,3,0,1,112,0,0.804,0
Group C,Poland,MF,Sebastian Szymański,Feyenoord,Netherlands,18,7,4,1239,0,0.799,0
Group A,Netherlands,MF,Steven Berghuis,Ajax,Netherlands,21,7,6,1473,0,0.794,0
Group G,Brazil,FW,Rodrygo,Real Madrid,Spain,19,7,5,1360,0,0.794,0
Group A,Ecuador,FW,Michael Estrada,Cruz Azul,Mexico,11,3,1,454,0,0.793,0
Group G,Serbia,FW,Aleksandar Mitrović,Fulham,England,12,9,0,1022,0,0.793,0
Group D,Denmark,MF,Andreas Skov Olsen,Club Brugge,Belgium,21,8,4,1364,0,0.792,0
Group G,Switzerland,FW,Breel Embolo,Monaco,France,23,8,4,1368,0,0.789,0
Group F,Belgium,FW,Eden Hazard,Real Madrid,Spain,6,1,1,229,0,0.786,0
Group D,France,FW,Antoine Griezmann,Atlético Madrid,Spain,21,6,5,1264,0,0.783,0
Group A,Netherlands,FW,Wout Weghorst,Beşiktaş,Turkey,14,6,4,1161,0,0.775,0
Group E,Spain,FW,Ansu Fati,Barcelona,Spain,20,3,3,700,0,0.771,0
Group H,Portugal,FW,João Félix,Atlético Madrid,Spain,18,4,3,818,0,0.77,0
Group G,Brazil,FW,Vinícius Júnior,Real Madrid,Spain,21,10,5,1758,0,0.768,0
Group C,Argentina,FW,Lautaro Martínez,Internazionale,Italy,21,8,6,1649,0,0.764,0
Group F,Belgium,FW,Leandro Trossard,Brighton & Hove Albion,England,14,7,3,1183,0,0.761,0
Group F,Croatia,DF,Borna Sosa,VfB Stuttgart,Germany,13,0,8,948,0,0.759,0
Group C,Saudi Arabia,DF,Yasser Al-Shahrani,Al-Hilal,Saudi Arabia,2,0,1,119,0,0.756,0
Group A,Senegal,FW,Boulaye Dia,Salernitana,Italy,14,6,2,959,0,0.751,0
Group F,Morocco,MF,Sofiane Boufal,Angers,France,11,3,3,719,0,0.751,0
Group D,Tunisia,DF,Ali Maâloul,Al Ahly,Egypt,4,1,2,360,0,0.75,0
Group A,Netherlands,FW,Steven Bergwijn,Ajax,Netherlands,21,11,3,1687,0,0.747,0
Group A,Netherlands,FW,Noa Lang,Club Brugge,Belgium,16,4,3,846,0,0.745,0
Group B,Iran,MF,Alireza Jahanbakhsh,Feyenoord,Netherlands,15,2,3,605,0,0.744,0
Group B,England,FW,Harry Kane,Tottenham Hotspur,England,22,13,3,1937,0,0.743,0
Group G,Brazil,FW,Gabriel Jesus,Arsenal,England,20,5,7,1453,0,0.743,0
Group A,Ecuador,MF,Romario Ibarra,Pachuca,Mexico,14,4,2,728,0,0.742,0
Group H,Uruguay,MF,Giorgian de Arrascaeta,Flamengo,Brazil,56,13,20,4027,0,0.738,0
Group E,Costa Rica,FW,Johan Venegas,Alajuelense,Costa Rica,20,9,3,1468,0,0.736,0
